,District,Type,Population,Area sqmi,Under 5,5 to 17,18 to 24,25 to 44,45 to 64,Over 65,Male,Female,Total Families,Avg Residential Value,Liquor Licenses,Faith Orgs,Parks,Total A Offenses,Assault Offenses,Arson,Burglary,Criminal Damages,Locked Vehicle,Robbery,Sex Offense,Theft,Vehicle Theft,Homicide
0,3700,CensusTract,2315,0.25,172,510,197,600,652,184,1011,1304,607,89252.0,0,0,0,2136,259,14,411,358,197,124,22,423,326,2
0,3800,CensusTract,2196,0.25,166,426,204,571,662,167,965,1231,584,83035.0,3,10,4,2502,399,17,407,323,196,223,26,534,374,3
0,3900,CensusTract,2630,0.26,185,605,221,662,686,271,1158,1472,691,70285.0,2,3,1,2988,517,15,503,390,178,236,38,654,452,5
0,400,CensusTract,2439,0.93,259,436,303,735,492,214,1076,1363,594,155952.0,4,2,16,1951,280,6,240,287,256,106,24,474,277,1
0,4000,CensusTract,2662,0.25,293,700,294,675,535,165,1052,1610,736,55358.0,1,3,2,3015,556,24,439,425,162,262,50,627,459,11
0,4100,CensusTract,2565,0.56,187,614,240,665,623,236,1141,1424,635,54381.0,0,6,3,3365,630,11,502,453,209,285,55,736,478,6
0,4200,CensusTract,3047,0.27,254,668,328,744,736,317,1429,1618,721,55739.0,6,7,1,4663,1061,32,643,527,248,424,74,1062,579,13
0,4300,CensusTract,5349,0.77,407,1061,551,1258,1308,764,2354,2995,1396,60983.0,3,8,4,7380,1225,42,1027,884,665,563,86,1810,1065,13
0,4400,CensusTract,3333,0.92,212,538,504,970,793,316,1531,1802,681,110316.0,10,2,18,6131,929,21,681,650,518,424,60,2075,760,13
0,4500,CensusTract,2478,0.27,191,565,277,572,606,267,1134,1344,585,33943.0,2,6,1,3443,873,37,449,372,181,321,61,765,369,15
0,4600,CensusTract,2984,0.26,231,637,306,708,742,360,1363,1621,738,37122.0,10,14,1,3748,931,29,507,419,208,380,56,758,444,16
0,4700,CensusTract,4021,0.55,315,895,377,940,994,500,1832,2189,969,32022.0,4,4,1,5068,1255,41,601,559,239,450,90,1143,670,20
0,470201,CensusTract,0,0.02,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4800,CensusTract,4002,0.39,347,976,457,1003,905,314,1814,2188,960,56466.0,4,15,2,5966,1451,54,633,692,331,525,102,1411,755,12
0,4900,CensusTract,4506,0.38,339,1051,465,1127,1218,306,2016,2490,1109,93674.0,3,2,0,4967,874,35,773,692,408,373,61,1062,685,4
0,5000,CensusTract,4707,0.44,361,990,417,1297,1294,348,2099,2608,1176,95963.0,2,6,0,4193,587,14,760,646,403,273,53,810,637,10
0,501,CensusTract,3450,1.56,320,703,327,1061,756,283,1684,1766,901,136663.0,3,1,3,2914,389,3,365,330,323,169,31,923,380,1
0,502,CensusTract,4878,0.69,585,1168,564,1293,932,336,2202,2676,1171,133652.0,0,2,0,5345,1399,17,647,803,327,246,80,1114,700,12
0,5100,CensusTract,3401,0.93,263,645,344,912,877,360,1498,1903,745,108876.0,0,5,3,3759,620,19,653,487,308,284,77,732,572,7
0,5200,CensusTract,1657,0.26,132,283,122,521,429,170,799,858,415,106830.0,1,3,1,1254,112,4,306,185,150,60,11,229,197,0
0,5300,CensusTract,1920,0.26,178,288,134,694,463,163,856,1064,478,111959.0,4,0,0,1254,115,6,293,175,183,63,7,256,156,0
0,5400,CensusTract,3690,0.52,302,499,226,1165,775,723,1702,1988,847,108302.0,4,4,1,1813,233,5,339,303,230,74,27,350,251,1
0,5500,CensusTract,3318,0.5,279,497,178,1040,844,480,1580,1738,910,133240.0,1,1,2,1036,81,0,211,161,141,83,13,251,94,1
0,5600,CensusTract,2198,0.48,144,308,217,667,569,293,961,1237,537,160096.0,3,1,3,554,41,0,145,87,97,19,0,123,42,0
0,5700,CensusTract,2371,0.31,191,308,145,912,630,185,1072,1299,612,141838.0,0,2,0,1063,74,0,273,166,148,59,6,220,117,0
0,5800,CensusTract,3430,0.39,342,549,248,1172,852,267,1571,1859,865,150262.0,3,3,4,2094,259,5,475,296,256,92,14,451,243,3
0,5900,CensusTract,3614,0.33,314,797,401,1068,853,181,1711,1903,856,85740.0,3,7,1,4062,703,20,600,474,317,332,47,962,603,4
0,600,CensusTract,6290,1.5,496,1378,654,1497,1409,856,2924,3366,1504,108434.0,4,3,2,4768,868,15,649,713,411,265,81,1121,640,5
0,6000,CensusTract,2658,0.16,241,766,261,705,587,98,1182,1476,651,64278.0,2,2,0,3145,785,25,480,379,167,215,56,651,375,12
0,6100,CensusTract,2320,0.2,213,647,216,611,505,128,1067,1253,567,79494.0,1,1,0,3257,741,24,467,475,180,271,67,656,368,8
0,6200,CensusTract,2923,0.18,294,851,321,763,528,166,1325,1598,627,42887.0,5,4,1,4210,1255,47,500,505,198,329,80,844,433,19
0,6300,CensusTract,2462,0.34,207,698,266,586,519,186,1118,1344,566,31158.0,2,3,1,4426,1146,63,535,479,221,423,70,1040,430,19
0,6400,CensusTract,2510,0.19,264,648,301,598,500,199,1148,1362,541,23518.0,3,5,1,3993,1233,40,493,412,161,356,69,855,356,18
0,6500,CensusTract,2628,0.19,266,675,302,623,520,242,1186,1442,608,31243.0,8,8,0,3524,1052,37,444,398,136,248,67,748,384,10
0,6600,CensusTract,3053,0.36,300,792,346,724,616,275,1422,1631,661,22972.0,6,9,1,4649,1522,54,420,511,181,451,83,938,467,22
0,6700,CensusTract,1492,0.16,154,418,163,367,276,114,699,793,344,30069.0,5,4,0,2043,610,20,267,238,89,168,39,403,198,11
0,6800,CensusTract,2813,0.22,249,641,339,673,612,299,1288,1525,593,31016.0,6,6,0,3281,1038,38,411,310,153,267,59,621,366,18
0,6900,CensusTract,2585,0.19,268,703,314,626,466,208,1249,1336,590,38585.0,4,6,3,3051,881,29,460,343,127,241,62,609,288,11
0,700,CensusTract,3580,1.52,273,663,282,865,836,661,1566,2014,912,92992.0,3,3,1,2609,427,6,210,434,326,125,26,688,365,2
0,7000,CensusTract,3020,0.26,309,760,405,720,588,238,1452,1568,642,40916.0,3,8,1,4006,1244,34,497,495,178,258,75,811,401,13
0,7100,CensusTract,1912,0.14,113,204,335,805,368,87,1022,890,341,130796.0,9,2,2,2214,217,2,361,341,270,178,18,518,309,0
0,7200,CensusTract,2791,0.33,164,301,315,998,821,192,1405,1386,535,152624.0,4,1,6,2604,197,5,514,410,356,183,16,553,368,2
0,7300,CensusTract,2477,0.27,53,89,1354,472,382,127,1353,1124,289,260210.0,3,0,4,1698,83,2,241,343,347,108,14,414,146,0
0,7400,CensusTract,4122,0.35,68,176,3076,290,351,161,1995,2127,282,447983.0,1,3,0,611,25,0,73,93,141,13,4,214,48,0
0,7500,CensusTract,2706,0.27,123,299,924,534,603,223,1382,1324,493,393042.0,0,7,2,1548,63,5,219,327,366,87,12,323,146,0
0,7600,CensusTract,3275,0.22,54,65,1124,918,448,666,1576,1699,367,503608.0,8,5,3,2039,98,6,174,301,654,94,9,512,191,0
0,7700,CensusTract,3807,0.27,53,84,1673,1333,508,156,2101,1706,371,343475.0,15,4,5,3231,187,4,313,591,777,229,22,784,322,2
0,7800,CensusTract,3446,0.25,64,90,2362,492,288,150,1971,1475,281,307613.0,11,1,5,3546,236,8,478,674,725,264,48,838,274,1
0,7900,CensusTract,2224,0.21,84,102,795,782,376,85,1183,1041,263,170515.0,15,1,6,1939,152,3,290,291,298,211,18,393,280,3
0,800,CensusTract,5129,1.17,380,1139,469,1357,1340,444,2379,2750,1266,102028.0,3,1,1,3101,657,20,509,507,260,76,45,602,422,3
0,8000,CensusTract,1951,0.13,125,201,394,827,295,109,1010,941,329,132097.0,12,3,0,2803,304,11,376,420,390,277,33,597,392,3
0,8100,CensusTract,1331,0.11,127,302,132,368,306,96,646,685,277,50905.0,2,3,0,1536,444,13,201,186,85,106,38,272,186,5
0,8400,CensusTract,1315,0.18,156,376,161,316,226,80,615,700,285,24627.0,1,6,0,2112,546,24,249,244,129,147,43,462,261,7
0,8500,CensusTract,1309,0.15,128,348,140,293,294,106,588,721,291,31007.0,2,10,1,2608,697,18,322,318,156,265,45,501,272,14
0,8600,CensusTract,1500,0.12,155,439,179,349,272,106,684,816,339,26824.0,4,7,0,2327,685,21,310,279,103,179,37,464,243,6
0,8700,CensusTract,1410,0.13,150,399,124,321,298,118,610,800,310,25024.0,0,8,0,2422,719,30,277,247,126,185,68,499,259,12
0,8800,CensusTract,2121,0.19,255,498,279,481,427,181,999,1122,462,27466.0,4,16,1,3965,1082,42,422,417,198,393,68,963,355,25
